ZPID,Address,City,State,Price,Monthly Rent,Rent Ratio %,ROI %,Monthly Cash Flow,Down Payment,Monthly Mortgage,Monthly Tax,Monthly Insurance,MLS ID,Bedrooms,Bathrooms,Year Built,Property Type
27494002,"9147 Mount Etna Dr, El Paso, TX 79924","El Paso",TX,176994,1397,0.79,20.58,304,17699,855,88,150,926203,3,2,1956,"SINGLE_FAMILY"
40794283,"2507 Hendon Rd, Soddy Daisy, TN 37379","Soddy Daisy",TN,231000,1786,0.77,20.39,392,23100,1116,78,200,1528378,3,2,1990,"SINGLE_FAMILY"
369688,"5205 Highway 35, Benton, AR 72015","Benton",AR,149900,1174,0.78,20.35,254,14990,724,46,150,26013364,2,1,1950,"SINGLE_FAMILY"
42227520,"2104 Alta Vista Ave, Memphis, TN 38127","Memphis",TN,119900,1002,0.84,20.25,202,11990,579,70,150,10214386,3,1,1955,"SINGLE_FAMILY"
458783208,"680-550 Butte Creek Rd, Adin, CA 96006","Adin",CA,257000,2093,0.81,20.21,433,25700,1242,218,200,2906702,2,2,1978,"SINGLE_FAMILY"
53658514,"1929 McGougan Rd, Fayetteville, NC 28303","Fayetteville",NC,149000,1322,0.89,20.21,251,14900,720,201,150,756031,3,2,1955,"SINGLE_FAMILY"
2098987142,"1500 Hummingbird Ct APT 21, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479469,2,3,2013,"TOWNHOUSE"
2098987149,"1500 Hummingbird Ct APT 15, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479461,2,3,2013,"TOWNHOUSE"
2098997284,"1500 Hummingbird Ct APT 10, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479450,2,3,2013,"TOWNHOUSE"
2098997362,"1500 Hummingbird Ct APT 9, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479449,2,3,2013,"TOWNHOUSE"
2101500490,"1500 Hummingbird Ct APT 7, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479446,2,3,2013,"TOWNHOUSE"
2101500492,"1500 Hummingbird Ct APT 4, Pharr, TX 78577","Pharr",TX,150000,1408,0.94,20.16,252,15000,725,281,150,479435,2,3,2013,"TOWNHOUSE"
74437803,"367 Bridgewater Dr, Newport News, VA 23603","Newport News",VA,187950,1895,1.01,20.1,315,18795,908,223,150,10616630,2,3,1987,"TOWNHOUSE"
78896062,"1628 Hamlin Ave, Wichita Falls, TX 76301","Wichita Falls",TX,105000,959,0.91,19.95,175,10500,507,127,150,178588,3,1,1952,"SINGLE_FAMILY"
26132650,"2236 Schley, San Antonio, TX 78210","San Antonio",TX,139000,1296,0.93,19.89,230,13900,672,244,150,1877898,3,1,1962,"SINGLE_FAMILY"
78828998,"1908 Division St, Greenville, TX 75401","Greenville",TX,151900,1287,0.85,19.85,251,15190,734,152,150,21148036,3,1,1950,"SINGLE_FAMILY"
14964157,"3106 Truxton Road, Augusta, GA 30906","Augusta",GA,179997,1444,0.80,19.84,298,18000,870,127,150,543576,3,2,1968,"SINGLE_FAMILY"
90143312,"16634 S Diego Rd, Yucca, AZ 86438","Yucca",AZ,199000,1456,0.73,19.82,329,19900,961,16,150,1040189,0,0,0,"LOT"
